0,1,2,3,4,5,6,7,8,9,10
compagni,Activité,Adresse,C.P.,Ville,phone,Mobile,Email,Commentary,Rappel,RDV
gtgt,tgtg,tgtg,tggt,ttg,tgtg,ttg,ttg,,,
"Beluga Studio","Architectes (profession)","54 r Gén Charles de Gaulle",90850,ESSERT,,0659093830,,,,
"Sautereau Philippe","Architectes (profession)","6 r Port",90850,ESSERT,0384281971,,,,,
"Valdant J.L. Architecture","Architectes (profession)","2 r du Rosier d'Amour",90500,BEAUCOURT,0384462834,0686587767,,,,
"Luthy Jean-Claude","Architectes (profession)","5 r Martyrs de la Résistance",90400,DANJOUTIN,0384285527,,,,,
"Zeiger William","Architectes (profession)","54 r Valdoie",90300,ELOIE,,,,,,
"Ruyer Sophie","Architectes (profession)","4 r Bleuets",90160,BESSONCOURT,,0686810258,,,,
"Dormoy Catherine","Architectes (profession)","1 r Orgues",90150,CUNELIERES,0384233156,,,,,
"Architecture New Concept (SARL)","Architectes (profession)",Clamecy,90035,,,,,,,
"Itinéraires Architecture","Architectes (profession)","7 fbg Montbéliard",90000,BELFORT,0384226691,,,,,
"Atelier d'Architecture et d'Urbanisme Schneider Rundstadler Associés","Architectes (profession)","20 r Lavoir",90000,BELFORT,0384901109,,,,,
"Atelier Alain Calmus","Architectes (profession)","4 fg Ancêtres",90000,BELFORT,0384283312,,,,,
"Atelier CEVIRGEN","Architectes (profession)","1 r Morimont",90000,BELFORT,0384288605,,,,,
"Agence Lanzini Patrick","Architectes (profession)","8 r M et L de Broglie",90000,BELFORT,0384581710,,,,,
"AGENCE URBANISME TERRITOIRE BELFORT","Architectes (profession)","10 r Aristide Briand",90000,BELFORT,0384465151,,,,,
"Agence Lanzini","Architectes (profession)","18 r Albert Camus",90000,BELFORT,0384581414,,,,,
"Lombardini Myriam","Architectes (profession)","18 r Albert Camus",90000,BELFORT,,,,,,
"Perros François","Architectes (profession)","23 av Gén Sarrail",90000,BELFORT,0363140296,,,,,
"Athenaeum Project","Architectes (profession)","7 quai Magasin",90000,BELFORT,0384282958,,,,,
"Hêtre Architecture","Architectes (profession)","6 r Rhône",90000,BELFORT,0384570242,,,,,
"Atelier d' Architecture Jean-Louis Vadam","Architectes (profession)","7 bd Richelieu",90000,BELFORT,0384280635,,,,,
"Bonino Gilles","Architectes (profession)","3 r Emile Zola",89800,CHABLIS,0386188934,,,,,
"Prunier-Blondelle Christophe","Architectes (profession)","27 Grande Rue",89600,CHEU,0386434169,,,,,
"Albans-moureu Anne-Rose","Architectes (profession)","Cidex 100 Bis chât Blanc",89520,"SOUGERES EN PUISAYE",0386452370,,,,,
"Larousse Martin Architecte","Architectes (profession)","6 r Echelette",89500,"VILLENEUVE SUR YONNE",,0612890417,,,,
"Launay Anne-Gaël","Architectes (profession)","che Saussais",89500,"VILLENEUVE SUR YONNE",0358456918,,,,,
"Hontcharenko Jean-Michel","Architectes (profession)","7 r 11 Novembre",89400,ORMOY,0386401525,,,,,
"Vincendon Frédéric","Architectes (profession)","9 r Chene Martin",89330,"SAINT JULIEN DU SAULT",0386911395,,,,,
J2P,"Architectes (profession)","11 r Moulin",89310,MOLAY,0386828339,,,,,
"Collette Bernard","Architectes (profession)","pl Tilleuls",89310,JOUANCY,,,,,,
"Dusolle Michel Architecte D . P . L . G .","Architectes (profession)","4 r Boffrand",89300,JOIGNY,0386622662,,,,,
"UBIK ARCHITECTURES","Architectes (profession)","38 r Paul Bert",89270,VERMENTON,0386815554,,,,,
"Franche Pascal","Architectes (profession)","11 r Merisiers, Sognes",89260,PERCENEIGE,,,,,,
"Dedale 89","Architectes (profession)","1 r Bouvreuils",89250,GURGY,0386531771,,,,,
"Atelier Mathieu Debray","Architectes (profession)","Morvan 18 r Saulsois",89200,ISLAND,0386344408,,,,,
"Architecture New Concept (SARL)","Architectes (profession)","4 r Hôpital",89200,AVALLON,,,,,,
"Cabinet Garnier","Architectes (profession)","chem Grande Corvée",89200,AVALLON,0386341686,,,,,
"Damour Thierry","Architectes (profession)","5 A imp Chapelle",89150,BRANNAY,0386658479,0647569098,,,,
"Atelier C2 Architecture","Architectes (profession)","1 r Bertauche",89100,SENS,0386963983,,,,,
